# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00004e01   00001006   ---        --------
               8   N   00001006   00000297   00001008   x28_t3     00000000
               9   N   00001008   83828293   0000100c   x05_t0     00001008
              10   N   0000100c   30529073   00001010   x05_t0     00000840
              11   N   00001010   00004505   00001014   ---        --------
              12   N   00001014   0000057e   00001016   x10_a0     00000001
              13   N   00001016   00054863   00001018   x10_a0     80000000
              14   N   00001018   0ff0000f   00001028   ---        --------
              17   N   00001028   00028f63   0000102c   x05_t0     00000000
              18   N   0000102c   10529073   0000104a   ---        --------
              22   N   0000104a   00006509   0000104e   ---        --------
              23   N   0000104e   00006509   0000104e   ---        --------
              24   N   0000104e   80050513   00001050   x10_a0     00002000
              25   N   00001050   30052073   00001054   x10_a0     00001800
              26   N   00001054   00000297   00001058   ---        --------
              27   N   00001058   00000297   00001058   ---        --------
              28   N   00001058   64628293   0000105c   x05_t0     00001058
              29   N   0000105c   34129073   00001060   x05_t0     0000169e
              30   N   00001060   f1402573   00001064   ---        --------
              31   N   00001064   30200073   00001068   x10_a0     00000000
              33   N   00001068   00000000   0000169e   ---        --------
              36   N   0000169e   00009002   000016a0   x28_t3     00000002
              37   E   000016a0   0000a019   00000840   mstatus    00001800
              37   E   000016a0   0000a019   00000840   mepc       000016a0
              37   E   000016a0   0000a019   00000840   mcause     00000003
              37   E   000016a0   0000a019   00000840   mtval      00000000
              40   N   00000840   000047a1   00000844   x14_a4     00000003
              41   N   00000844   04f70263   00000846   x15_a5     00000008
              42   N   00000846   000047a5   0000084a   ---        --------
              43   N   0000084a   02f70f63   0000084c   x15_a5     00000009
              44   N   0000084c   000047ad   00000850   ---        --------
              45   N   00000850   02f70c63   00000852   x15_a5     0000000b
              46   N   00000852   47ad0837   00000856   ---        --------
              48   N   00000856   02f71897   0000085a   x16_a6     f0000000
              50   N   0000085a   f0008893   0000085e   x17_a7     0000185a
              52   N   0000085e   00008783   00000862   x17_a7     00001680
              55   N   00000862   0000c791   00000866   x15_a5     00000042
              56   N   00000866   00f82023   00000868   ---        --------
              58   N   00000868   00000885   0000086c   ---        --------
              59   N   0000086c   ff5ff06f   0000086e   x17_a7     00001681
              60   N   0000086e   08851717   00000862   ---        --------
              65   N   00000862   0000c791   00000866   x15_a5     00000050
              66   N   00000866   00f82023   00000868   ---        --------
              68   N   00000868   00000885   0000086c   ---        --------
              69   N   0000086c   ff5ff06f   0000086e   x17_a7     00001682
              70   N   0000086e   08851717   00000862   ---        --------
              75   N   00000862   0000c791   00000866   x15_a5     00000020
              76   N   00000866   00f82023   00000868   ---        --------
              78   N   00000868   00000885   0000086c   ---        --------
              79   N   0000086c   ff5ff06f   0000086e   x17_a7     00001683
              80   N   0000086e   08851717   00000862   ---        --------
              85   N   00000862   0000c791   00000866   x15_a5     00000020
              86   N   00000866   00f82023   00000868   ---        --------
              88   N   00000868   00000885   0000086c   ---        --------
              89   N   0000086c   ff5ff06f   0000086e   x17_a7     00001684
              90   N   0000086e   08851717   00000862   ---        --------
              95   N   00000862   0000c791   00000866   x15_a5     00000020
              96   N   00000866   00f82023   00000868   ---        --------
              98   N   00000868   00000885   0000086c   ---        --------
